,Author Name,Min CoAuthors,max CoAuthors,Average no of CoAuthors,Median CoAuthors
636,a. sano,1,1,1.0,1.0
637,a. santos,2,2,2.0,2.0
638,a. saracco,7,7,7.0,7.0
639,a. sarghini,4,4,4.0,4.0
640,a. sarkar,4,4,4.0,4.0
641,a. sarko,2,2,2.0,2.0
642,a. sarotama,6,6,6.0,6.0
643,a. satish,2,2,2.0,2.0
644,a. satyanarayana,2,3,2.5,2.5
645,a. savic,4,4,4.0,4.0
646,a. scamardella,4,4,4.0,4.0
647,a. scheuer,6,6,6.0,6.0
648,a. schneider,3,3,3.0,3.0
649,a. schwendel,5,5,5.0,5.0
650,a. scunio,4,4,4.0,4.0
651,a. sesterhenn,4,4,4.0,4.0
652,a. shacham,6,6,6.0,6.0
653,a. shulman,4,4,4.0,4.0
654,a. siegel,4,4,4.0,4.0
655,a. silberman,9,9,9.0,9.0
656,a. siltanen,1,1,1.0,1.0
657,a. sloane,1,1,1.0,1.0
658,a. soares,1,1,1.0,1.0
659,a. son,2,2,2.0,2.0
660,a. sonnino,5,5,5.0,5.0
661,a. springub,10,10,10.0,10.0
662,a. sreenivas,3,3,3.0,3.0
663,a. srinivasan,2,2,2.0,2.0
664,a. stawowy,2,2,2.0,2.0
665,a. steven pollitt,5,5,5.0,5.0
666,a. stewart fotheringham,2,2,2.0,2.0
667,a. stockfisch,3,3,3.0,3.0
668,a. storr,1,2,1.6666666,2.0
669,a. strömberg,2,2,2.0,2.0
670,a. sugiyama,1,1,1.0,1.0
671,a. swarup,2,2,2.0,2.0
672,a. syed,3,3,3.0,3.0
673,a. sánchez,2,2,2.0,2.0
674,a. sørensen,3,3,3.0,3.0
675,a. t. ali,3,3,3.0,3.0
676,a. t. balou,2,2,2.0,2.0
677,a. t. c. goh,1,1,1.0,1.0
678,a. t. gumahad ii,2,2,2.0,2.0
679,a. t. manninen,1,1,1.0,1.0
680,a. t. peplow,2,2,2.0,2.0
681,a. t. rose,4,4,4.0,4.0
682,a. t. wood-harper,2,3,2.3333333,2.0
683,a. t. y. kuo,2,2,2.0,2.0
684,a. tai,2,4,3.0,3.0
685,a. takahashi,3,3,3.0,3.0
686,a. tamasevicius,2,2,2.0,2.0
687,a. tanaka,3,3,3.0,3.0
688,a. tanghe,6,6,6.0,6.0
689,a. tanju erdem,1,4,2.6666667,3.0
690,a. tarantino,4,4,4.0,4.0
691,a. taylor,5,5,5.0,5.0
692,a. terry bahill,2,3,2.25,2.0
693,a. thenmozhi,2,7,4.5,4.5
694,a. thierry,7,7,7.0,7.0
695,a. thomas,2,2,2.0,2.0
696,a. thomsen,4,4,4.0,4.0
697,a. tiems,3,3,3.0,3.0
698,a. timimoun,5,5,5.0,5.0
699,a. tjahjana,5,5,5.0,5.0
700,a. tomaras,4,4,4.0,4.0
701,a. toola,1,1,1.0,1.0
702,a. torrecillas,2,5,3.5,3.5
703,a. tortorici macaluso,3,3,3.0,3.0
704,a. toth,3,3,3.0,3.0
705,a. touir,1,2,1.5,1.5
706,a. toyoda,3,3,3.0,3.0
707,a. tramontini,4,4,4.0,4.0
708,a. trannoy,3,3,3.0,3.0
709,a. traynard,3,3,3.0,3.0
710,a. troesch,1,1,1.0,1.0
711,a. trubuil,1,1,1.0,1.0
712,a. truffert,1,1,1.0,1.0
713,a. tseva,4,4,4.0,4.0
714,a. tsobanidis,4,4,4.0,4.0
715,a. udaya shankar,1,3,2.0,2.0
716,a. v. astrelin,1,1,1.0,1.0
717,a. v. jones,3,3,3.0,3.0
718,a. v. lensky,3,3,3.0,3.0
719,a. v. levitin,2,2,2.0,2.0
720,a. v. nelson,5,5,5.0,5.0
721,a. v. paramonov,3,3,3.0,3.0
722,a. v. ramesh,2,2,2.0,2.0
723,a. v. s. sastry,2,3,2.5,2.5
724,a. v. timofeev,1,1,1.0,1.0
725,a. v. vstovskaya,2,2,2.0,2.0
726,a. valbonesi,2,2,2.0,2.0
727,a. van vliet,2,2,2.0,2.0
728,a. van zanten,6,6,6.0,6.0
729,a. varfis,2,2,2.0,2.0
730,a. varga,1,1,1.0,1.0
731,a. vashishta,5,5,5.0,5.0
732,a. vashishtha,5,5,5.0,5.0
733,a. verhulst,4,4,4.0,4.0
734,a. villarreal,2,2,2.0,2.0
735,a. vince,1,1,1.0,1.0
736,a. visser,7,7,7.0,7.0
737,a. vitalis,2,2,2.0,2.0
738,a. voisin,3,3,3.0,3.0
739,a. volgenant,2,2,2.0,2.0
740,a. voloboj,1,1,1.0,1.0
741,a. volpato,3,3,3.0,3.0
742,a. vozella,3,3,3.0,3.0
743,a. w. bates,1,1,1.0,1.0
744,a. w. blackwell,5,5,5.0,5.0
745,a. w. bollen,1,1,1.0,1.0
746,a. w. eliasz,1,3,2.0,2.0
747,a. w. foster,5,5,5.0,5.0
748,a. w. gummer,1,1,1.0,1.0
749,a. w. jessup,3,3,3.0,3.0
750,a. w. koers,2,2,2.0,2.0
751,a. w. lananick,6,6,6.0,6.0
752,a. w. roscoe,1,6,3.0,2.0
753,a. w. savill,3,3,3.0,3.0
754,a. w. schrift,2,3,2.5,2.5
755,a. w. tredgold,2,2,2.0,2.0
756,a. w. zaiß,3,3,3.0,3.0
757,a. wallenborg,3,3,3.0,3.0
758,a. walter,2,2,2.0,2.0
759,a. warburton,3,3,3.0,3.0
760,a. wass,6,6,6.0,6.0
761,a. webster grant,1,1,1.0,1.0
762,a. welz,1,1,1.0,1.0
763,a. wiens,6,6,6.0,6.0
764,a. wilm,1,1,1.0,1.0
765,a. wilson,5,7,6.0,6.0
766,a. wittmann,3,3,3.0,3.0
767,a. wong,2,2,2.0,2.0
768,a. y. cairns,4,4,4.0,4.0
769,a. y. lu,2,2,2.0,2.0
770,a. ya. rodionov,4,4,4.0,4.0
771,a. yavuz oruç,2,3,2.125,2.0
772,a. yeremin,2,2,2.0,2.0
773,a. yonca özge,3,3,3.0,3.0
774,a. yoshioka,11,11,11.0,11.0
775,a. yu boozin,2,2,2.0,2.0
776,a. yu. ol'shanskii,1,1,1.0,1.0
777,a. yu. taranov,4,4,4.0,4.0
778,a. yu. zharkov,1,3,2.0,2.0
779,a. yáñez,3,3,3.0,3.0
780,a. z. maksyutov,2,2,2.0,2.0
781,a. zaafrani,2,2,2.0,2.0
782,a. zagler,5,5,5.0,5.0
783,a. zagrebnov,3,3,3.0,3.0
784,a. zandi,3,3,3.0,3.0
785,a. zaritsky,2,2,2.0,2.0
786,a. zayezdny,2,2,2.0,2.0
787,a. zeyn,1,1,1.0,1.0
788,a. zvi meiri,3,3,3.0,3.0
789,a.-c. liu,3,3,3.0,3.0
790,a.-k. gadiri,3,3,3.0,3.0
791,aad j. van der steen,1,1,1.0,1.0
792,aad p. a. van moorsel,1,1,1.0,1.0
793,aarne halme,2,2,2.0,2.0
794,aarne ranta,1,1,1.0,1.0
795,aarne rantala,4,4,4.0,4.0
796,aarni lehtinen,1,1,1.0,1.0
797,aarno lehtola,1,3,2.25,2.5
798,aaron b. kiely,2,2,2.0,2.0
799,aaron d. gross,1,1,1.0,1.0
800,aaron d. wyner,2,3,2.3333333,2.0
801,aaron e. rosenberg,5,5,5.0,5.0
802,aaron f. bobick,1,2,1.5,1.5
803,aaron goodisman,2,2,2.0,2.0
804,aaron h. konstam,1,2,1.5,1.5
805,aaron heller,6,6,6.0,6.0
806,aaron j. goldberg,2,3,2.1666667,2.0
807,aaron j. owens,2,2,2.0,2.0
808,aaron j. shenhar,1,1,1.0,1.0
809,aaron kershenbaum,2,3,2.6666667,3.0
810,aaron larson,2,3,2.5,2.5
811,aaron marcus,1,2,1.3333334,1.0
812,aaron meyerowitz,5,5,5.0,5.0
813,aaron s. wallack,3,3,3.0,3.0
814,aaron sloman,1,1,1.0,1.0
815,aaron soloman,3,3,3.0,3.0
816,aaron temin,5,5,5.0,5.0
817,aaron watters,1,3,1.6666666,1.0
818,aart bijil,1,1,1.0,1.0
819,aart blokhuis,2,3,2.3333333,2.0
820,aart j. 't jong,3,3,3.0,3.0
821,aart j. c. bik,2,2,2.0,2.0
822,aart middeldorp,1,2,1.8,2.0
823,aarthi prasad,2,2,2.0,2.0
824,aarti gupta,2,2,2.0,2.0
825,aarti shanker,2,5,3.5,3.5
826,ab. rashid bin ab. rahim,2,2,2.0,2.0
827,abad a. shah,5,5,5.0,5.0
828,abbas aghamohammadi,3,3,3.0,3.0
829,abbas asadi-arbabi,2,2,2.0,2.0
830,abbas dehkhoda,2,2,2.0,2.0
831,abbas edalat,1,2,1.6,2.0
832,abbas el gamal,3,3,3.0,3.0
833,abbas mehemmel,2,2,2.0,2.0
834,abbas rafii,7,8,7.5,7.5
835,abbas yongaçoglu,2,2,2.0,2.0
836,abbe don,3,4,3.5,3.5
837,abd e. elnakhal,1,2,1.6666666,2.0
838,abdalah al-shawi,1,1,1.0,1.0
839,abdallah assi,1,2,1.5,1.5
840,abdallah m. alashqur,2,2,2.0,2.0
841,abdalmajeid alyassin,3,3,3.0,3.0
842,abdel aziz farrag,2,2,2.0,2.0
843,abdel belaïd,2,3,2.3333333,2.0
844,abdel ennaji,4,4,4.0,4.0
845,abdel kader diagne,5,5,5.0,5.0
846,abdel razik sebak,3,3,3.0,3.0
847,abdel wahab zramdini,2,3,2.5,2.5
848,abdel-fattah yousif,2,2,2.0,2.0
849,abdel-karim s. o. hassan,2,2,2.0,2.0
850,abdel-latif elshafei,3,3,3.0,3.0
851,abdel-ouahab boudraa,5,5,5.0,5.0
852,abdelaziz ait-braham,1,1,1.0,1.0
853,abdelghani bellaachia,2,2,2.0,2.0
854,abdelhak m. zoubir,1,1,1.0,1.0
855,abdelhakim ghezal,1,2,1.5,1.5
856,abdelhakim oulefki,1,1,1.0,1.0
857,abdelhamid abderrezzak,1,1,1.0,1.0
858,abdelhamid benhocine,2,2,2.0,2.0
859,abdelhamid mellouk,2,3,2.5,2.5
860,abdelillah mokkedem,2,2,2.0,2.0
861,abdelkader bétari,2,2,2.0,2.0
862,abdelkader hameurlain,2,2,2.0,2.0
863,abdelkrim bekkhoucha,2,2,2.0,2.0
864,abdellah salhi,3,3,3.0,3.0
865,abdellatif moudafi,1,1,1.0,1.0
866,abdellatif obaid,3,3,3.0,3.0
867,abdelmadjid bouabdallah,2,2,2.0,2.0
868,abdelmalek b. c. zidouri,3,3,3.0,3.0
869,abdelmalek benzekri,3,3,3.0,3.0
870,abdelrahman n. shuaib,3,3,3.0,3.0
871,abdelsalam helal,2,4,3.0,3.0
872,abdennasser chebira,4,4,4.0,4.0
873,abderezak touzene,2,2,2.0,2.0
874,abderrahim jourani,2,2,2.0,2.0
875,abderrahmane aggoun,2,2,2.0,2.0
876,abderrahmane nitaj,1,1,1.0,1.0
877,abderrazak ghedamsi,3,6,4.4,5.0
878,abderrazek chine,1,1,1.0,1.0
879,abdessamad ezzahar,1,1,1.0,1.0
880,abdesselam bouzerdoum,2,2,2.0,2.0
881,abdol-hossein esfahanian,3,4,3.25,3.0
882,abdollah homaifar,3,3,3.0,3.0
883,abdollah khodkar,1,1,1.0,1.0
884,abdou youssef,1,2,1.3333334,1.0
885,abdul a. malik,3,4,3.6666667,4.0
886,abdul ahad s. awwal,2,2,2.0,2.0
887,abdul rahman abdullah,1,1,1.0,1.0
888,abdul raouf,2,2,2.0,2.0
889,abdul sattar 0001,2,2,2.0,2.0
890,abdul v. roudsari,6,8,7.0,7.0
891,abdul waheed,2,3,2.3333333,2.0
892,abdul-qayyum m. khaliq,2,2,2.0,2.0
893,abdulkader o. barbir,2,2,2.0,2.0
894,abdulkadir dinc,2,2,2.0,2.0
895,abdulla bataineh,3,3,3.0,3.0
896,abdulla h. abdul-gader,1,1,1.0,1.0
897,abdullah a. abonamah,2,2,2.0,2.0
898,abdullah abdul-gader,2,2,2.0,2.0
899,abdullah atalar,3,3,3.0,3.0
900,abdullah mohd zin,1,1,1.0,1.0
901,abdullah uz tansel,1,6,3.25,3.0
902,abdulmesih aktas,2,3,2.5,2.5
903,abdulnasir hossen,2,2,2.0,2.0
904,abdur rais,4,4,4.0,4.0
905,abdón sánchez-arroyo,2,2,2.0,2.0
906,abeer a. alwan,2,2,2.0,2.0
907,abeer alwan,1,1,1.0,1.0
908,abel j. p. gomes,2,2,2.0,2.0
909,abel weinrib,2,21,8.666667,3.0
910,abelardo pardo,7,7,7.0,7.0
911,abha ahuja,2,2,2.0,2.0
912,abha singh,2,2,2.0,2.0
913,abhay b. bulsari,1,3,2.2,2.0
914,abhay k. parekh,1,2,1.6666666,2.0
915,abhaya asthana,3,3,3.0,3.0
916,abhi dattasharma,2,2,2.0,2.0
917,abhijit a. shah,2,2,2.0,2.0
918,abhijit chatterjee,1,7,2.8235295,3.0
919,abhijit chaudhary,4,4,4.0,4.0
920,abhijit chaudhury,3,3,3.0,3.0
921,abhijit datta,3,3,3.0,3.0
922,abhijit deshmukh,3,3,3.0,3.0
923,abhijit dharchoudhury,2,2,2.0,2.0
924,abhijit dutta,2,2,2.0,2.0
925,abhijit ghosh,3,3,3.0,3.0
926,abhijit gopal,3,3,3.0,3.0
927,abhijit k. choudhury,2,2,2.0,2.0
928,abhijit mahalanobis,1,1,1.0,1.0
929,abhijit pandya,3,3,3.0,3.0
930,abhijit s. kudrimoti,3,3,3.0,3.0
931,abhijit s. pandya,3,3,3.0,3.0
932,abhijit sahay,4,8,6.0,6.0
933,abhijit sengupta,3,3,3.0,3.0
934,abhinandan jain,2,3,2.2857144,2.0
935,abhir bhalerao,1,1,1.0,1.0
936,abhiram g. ranade,1,6,2.625,2.0
937,abhirup chatterjee,2,2,2.0,2.0
938,abid m. elabdalla,1,1,1.0,1.0
939,abid thyab jazaa,1,1,1.0,1.0
940,abigail kaun,3,3,3.0,3.0
941,abigail sellen,2,6,3.6,3.0
942,abinash c. dubey,4,4,4.0,4.0
943,abinder s. dhillon,2,2,2.0,2.0
944,abolfazl sirjani,2,2,2.0,2.0
945,abraham b. shani,2,2,2.0,2.0
946,abraham berman,2,2,2.0,2.0
947,abraham bookstein,2,5,2.875,2.5
948,abraham charnes,2,3,2.3333333,2.0
949,abraham kandel,2,3,2.5,2.5
950,abraham lempel,2,3,2.4,2.0
951,abraham mehrez,3,4,3.5,3.5
952,abraham mendelson,3,3,3.0,3.0
953,abraham p. punnen,1,1,1.0,1.0
954,abraham schultz,1,1,1.0,1.0
955,abraham seidmann,2,4,3.0,3.0
956,abraham silberschatz,2,5,3.35,3.0
957,abraham ziv,1,1,1.0,1.0
958,abu turab alam,1,1,1.0,1.0
959,abul habbas el zahni,2,2,2.0,2.0
960,abund ottokar wist,3,3,3.0,3.0
961,aby tehranipour,2,2,2.0,2.0
962,abílio ribeiro,3,3,3.0,3.0
963,achi brandt,2,2,2.0,2.0
964,achille c. varzi,1,1,1.0,1.0
965,achille pattavina,1,3,1.8571428,2.0
966,achilleas voliotis,2,2,2.0,2.0
967,achilles g. koyiantis,4,4,4.0,4.0
968,achilles kameas,3,4,3.25,3.0
969,achim bachem,3,3,3.0,3.0
970,achim bode,4,4,4.0,4.0
971,achim g. hoffmann,1,2,1.2,1.0
972,achim höffmann,1,1,1.0,1.0
973,achim ilchmann,1,1,1.0,1.0
974,achim jung,1,3,2.2,2.0
975,achim kaufmann,2,2,2.0,2.0
976,achim lipp,2,2,2.0,2.0
977,achim metz,2,2,2.0,2.0
978,achim osswald,1,2,1.5,1.5
979,achim schupeta,1,1,1.0,1.0
980,achim schweikard,1,3,2.2,3.0
981,achim steinacker,2,2,2.0,2.0
982,achim stößer,2,3,2.5,2.5
983,achim sydow,1,5,3.0,3.0
984,achim von brandt,2,4,3.0,3.0
985,achiya dax,1,1,1.0,1.0
986,achutuni sreenivasa murty,2,2,2.0,2.0
987,ad h. m. thiers,5,5,5.0,5.0
988,ad m. g. peeters,2,4,3.0,3.0
989,adair dingle,2,2,2.0,2.0
990,adalbert steinbach,1,1,1.0,1.0
991,adam a. porter,1,4,2.0,1.0
992,adam beguelin,2,6,3.8,4.0
993,adam billyard,7,7,7.0,7.0
994,adam bosznay,3,3,3.0,3.0
995,adam c. marshall,1,1,1.0,1.0
996,adam c. winstanley,2,2,2.0,2.0
997,adam carlson,4,4,4.0,4.0
998,adam cunningham,2,2,2.0,2.0
999,adam dingle,2,2,2.0,2.0
1000,adam e. irgon,5,5,5.0,5.0
1001,adam efron,2,2,2.0,2.0
1002,adam f. strassberg,2,2,2.0,2.0
1003,adam finkelstein,3,13,8.0,8.0
1004,adam galper,2,2,2.0,2.0
1005,adam godzik,3,3,3.0,3.0
1006,adam greenberg,4,4,4.0,4.0
1007,adam grummitt,1,1,1.0,1.0
1008,adam i. harris,4,4,4.0,4.0
1009,adam j. efron,3,3,3.0,3.0
1010,adam j. grove,2,4,2.6666667,2.0
1011,adam kapralski,1,1,1.0,1.0
1012,adam kilgarriff,1,1,1.0,1.0
1013,adam kolany,1,2,1.25,1.0
1014,adam kolawa,4,8,6.0,6.0
1015,adam kowalczyk,1,3,2.3333333,3.0
1016,adam krzyzak,1,3,2.5,3.0
1017,adam l. buchsbaum,2,3,2.3333333,2.0
1018,adam l. janin,3,3,3.0,3.0
1019,adam liwo,7,7,7.0,7.0
1020,adam meyers,3,3,3.0,3.0
1021,adam n. mamelak,3,3,3.0,3.0
1022,adam n. mirkin,2,2,2.0,2.0
1023,adam obtulowicz,1,1,1.0,1.0
1024,adam pawlak,3,3,3.0,3.0
1025,adam peck,7,7,7.0,7.0
1026,adam pietrowcew,2,2,2.0,2.0
1027,adam prügel-bennett,2,2,2.0,2.0
1028,adam r. woodbury,5,5,5.0,5.0
1029,adam rifkin,4,4,4.0,4.0
1030,adam scott landsberg,2,2,2.0,2.0
1031,adam seiver,4,4,4.0,4.0
1032,adam shwartz,2,3,2.3333333,2.0
1033,adam st. amant,4,4,4.0,4.0
1034,adam w. bojanczyk,2,4,3.0,3.0
1035,adam wolisz,2,3,2.25,2.0
1036,adam wrzoskowicz,1,2,1.5,1.5
1037,adam wyszynski,2,2,2.0,2.0
1038,adams b. bodomo,1,1,1.0,1.0
1039,adarshpal s. sethi,2,3,2.5,2.5
1040,adedeji b. badiru,1,3,2.0,2.0
1041,adegbeniga ola,2,2,2.0,2.0
1042,adel a. m. saleh,5,5,5.0,5.0
1043,adel bouhoula,2,2,2.0,2.0
1044,adel h. eltimsahy,2,2,2.0,2.0
1045,adel i. el-fallah,2,2,2.0,2.0
1046,adel m. alimi,4,4,4.0,4.0
1047,adel m. sharaf,3,3,3.0,3.0
1048,adel s. sedra,3,3,3.0,3.0
1049,adel torkaman rahmani,2,2,2.0,2.0
1050,adelaide i. lane,1,1,1.0,1.0
1051,adele a. rescigno,2,3,2.5,2.5
1052,adele anna rescigno,3,3,3.0,3.0
1053,adele cutler,2,2,2.0,2.0
1054,adele e. howe,2,2,2.0,2.0
1055,adele goldberg,1,5,3.25,3.5
1056,adelheid i. mahla,2,2,2.0,2.0
1057,adelheit stein,2,3,2.5,2.5
1058,adeline nazarenko,1,1,1.0,1.0
1059,adelino santos,1,4,1.75,1.0
1060,adelio salsano,4,4,4.0,4.0
1061,adhemar bultheel,2,2,2.0,2.0
1062,adi ben-israel,2,2,2.0,2.0
1063,adi bonen,3,3,3.0,3.0
1064,adi m. treasurywala,4,5,4.3333335,4.0
1065,adi r. bulsara,1,3,2.3333333,3.0
1066,adi shamir,1,6,2.1818182,2.0
1067,adil kabbaj,2,2,2.0,2.0
1068,adilson gonzaga,1,1,1.0,1.0
1069,adin d. falkoff,1,1,1.0,1.0
1070,adina di porto,2,2,2.0,2.0
1071,adit d. singh,2,3,2.2,2.0
1072,aditi dhagat,2,2,2.0,2.0
1073,aditya agrawal,4,4,4.0,4.0
1074,aditya goel,2,2,2.0,2.0
1075,aditya p. mathur,1,4,2.6,3.0
1076,adly t. fam,2,2,2.0,2.0
1077,adnan a. abu-dayya,2,2,2.0,2.0
1078,adnan abou nabout,1,1,1.0,1.0
1079,adnan amin,2,2,2.0,2.0
1080,adnan darwiche,1,1,1.0,1.0
1081,adnan k. shaout,2,2,2.0,2.0
1082,adnan m. alattar,1,1,1.0,1.0
1083,adnan yassine,4,4,4.0,4.0
1084,adolf grauel,1,3,2.0,2.0
1085,adolf h. glattfelder,2,2,2.0,2.0
1086,adolf peter bröhl,1,1,1.0,1.0
1087,adolf schreiner,3,3,3.0,3.0
1088,adolfo fucci,20,20,20.0,20.0
1089,adolfo j. socorro ramos,1,1,1.0,1.0
1090,adolfo núñez,2,2,2.0,2.0
1091,adolfo piperno,3,3,3.0,3.0
1092,adolfo steiger-garção,2,2,2.0,2.0
1093,adolph j. januszkiewicz,9,9,9.0,9.0
1094,adonios simvonis,2,2,2.0,2.0
1095,adoración rueda,3,3,3.0,3.0
1096,adoram erell,2,3,2.3333333,2.0
1097,adriaan ligtenberg,1,1,1.0,1.0
1098,adriaan van den bos,2,2,2.0,2.0
1099,adrian albert moore,1,1,1.0,1.0
1100,adrian alvarez,3,3,3.0,3.0
1101,adrian atanasiu,2,2,2.0,2.0
1102,adrian baldwin,1,1,1.0,1.0
1103,adrian brüngger,5,5,5.0,5.0
1104,adrian bullock,6,6,6.0,6.0
1105,adrian c. klein,2,2,2.0,2.0
1106,adrian colbrook,3,4,3.5,3.5
1107,adrian cox,3,3,3.0,3.0
1108,adrian demaid,2,2,2.0,2.0
1109,adrian dvir,2,2,2.0,2.0
1110,adrian e. conway,1,3,2.0,2.0
1111,adrian e. eckberg,2,2,2.0,2.0
1112,adrian fiech,1,1,1.0,1.0
1113,adrian fourcin,2,4,3.0,3.0
1114,adrian freed,3,3,3.0,3.0
1115,adrian ioinovici,2,3,2.5,2.5
1116,adrian j. shepherd,3,3,3.0,3.0
1117,adrian k. fung,3,4,3.5,3.5
1118,adrian kirkwood,1,1,1.0,1.0
1119,adrian loeff,2,3,2.5,2.5
1120,adrian m. simper,3,3,3.0,3.0
1121,adrian müller,1,3,2.0,2.0
1122,adrian n. evans,2,2,2.0,2.0
1123,adrian papamarcou,2,2,2.0,2.0
1124,adrian pickering,4,4,4.0,4.0
1125,adrian popescu,4,4,4.0,4.0
1126,adrian popescu 0002,2,2,2.0,2.0
1127,adrian popplewell,3,3,3.0,3.0
1128,adrian radulescu,1,1,1.0,1.0
1129,adrian riskin,1,1,1.0,1.0
1130,adrian s. lewis,2,2,2.0,2.0
1131,adrian segall,2,3,2.2,2.0
1132,adrian smith,1,1,1.0,1.0
1133,adrian stevenson miller,1,1,1.0,1.0
1134,adrian tang 0001,2,2,2.0,2.0
1135,adrian walker,1,1,1.0,1.0
1136,adrian waterworth,2,2,2.0,2.0
1137,adriana danes,3,3,3.0,3.0
1138,adriana jergová,3,3,3.0,3.0
1139,adriana muñoz,6,6,6.0,6.0
1140,adriano lai,20,20,20.0,20.0
1141,adriano peron,2,2,2.0,2.0
1142,adriano tirabosco,3,3,3.0,3.0
1143,adriano valenzano,3,3,3.0,3.0
1144,adrianos reppas,2,2,2.0,2.0
1145,adrianus j. han vinck,2,2,2.0,2.0
1146,adrienne cleveland,2,2,2.0,2.0
1147,adrienne g. bloss,3,3,3.0,3.0
1148,adrienne j. kleiboemer,6,6,6.0,6.0
1149,adwin h. timmer,2,2,2.0,2.0
1150,ady tal,2,2,2.0,2.0
1151,afonso de c. pinto,2,2,2.0,2.0
1152,afonso ferreira,1,5,2.375,2.0
1153,afsaneh haddadi,2,3,2.3333333,2.0
1154,afzal ballim,1,4,2.5,2.5
1155,afzal montaser-kohsari,3,3,3.0,3.0
1156,agapi l. somwaru,2,2,2.0,2.0
1157,agathoclis kyprou stylianou,1,3,2.0,2.0
1158,aggelos k. katsaggelos,2,4,2.9166667,3.0
1159,agha hussain,3,3,3.0,3.0
1160,agha iqbal ali,2,2,2.0,2.0
1161,agnar aamodt,1,5,2.3333333,1.0
1162,agnes daldegan,4,4,4.0,4.0
1163,agnes hui chan,3,3,3.0,3.0
1164,agnes kaposi,2,2,2.0,2.0
1165,agnes kukulska-hulme,1,1,1.0,1.0
1166,agnessa babloyantz,2,2,2.0,2.0
1167,agneta olerup,1,1,1.0,1.0
1168,agnieszka mykowiecka,1,1,1.0,1.0
1169,agnus mcintyre,3,3,3.0,3.0
1170,agnès devarenne,3,3,3.0,3.0
1171,agnès dormont,2,2,2.0,2.0
1172,agnès tutin,4,4,4.0,4.0
1173,agnès voisard,1,3,2.0,2.0
1174,agostino cortesi,2,3,2.25,2.0
1175,agostino di scipio,1,1,1.0,1.0
1176,agostino dovier,1,5,2.857143,2.0
1177,agostino poggi,2,2,2.0,2.0
1178,agostino villa,2,2,2.0,2.0
1179,agustin arruabarrena,3,4,3.75,4.0
1180,agustin fernández,4,4,4.0,4.0
1181,agustín riscos gonzáles,4,4,4.0,4.0
1182,ah chung tsoi,1,4,2.25,2.0
1183,ah-lim tsai,3,3,3.0,3.0
1184,aharon aharon,6,6,6.0,6.0
1185,aharon ben-tal,2,2,2.0,2.0
1186,ahmad a. masoud,2,4,2.6666667,2.0
1187,ahmad abdalla,2,2,2.0,2.0
1188,ahmad abdel-aziz sharieh,1,1,1.0,1.0
1189,ahmad abdul majid,2,2,2.0,2.0
1190,ahmad ghafarian,1,1,1.0,1.0
1191,ahmad h. nasri,1,1,1.0,1.0
1192,ahmad hemami,1,3,2.6,3.0
1193,ahmad i. z. jarrah,4,4,4.0,4.0
1194,ahmad k. aman,3,3,3.0,3.0
1195,ahmad sayes,10,10,10.0,10.0
1196,ahmad sharary,2,2,2.0,2.0
1197,ahmadreza rofougaran,2,2,2.0,2.0
1198,ahmed a. rafea,2,2,2.0,2.0
1199,ahmed a. tarraf,3,3,3.0,3.0
1200,ahmed abbood,3,3,3.0,3.0
1201,ahmed ainouche,1,1,1.0,1.0
1202,ahmed amine jerraya,3,4,3.3333333,3.0
1203,ahmed bouajjani,2,5,3.3333333,3.0
1204,ahmed e. barbour,2,2,2.0,2.0
1205,ahmed e. i. shouman,1,1,1.0,1.0
1206,ahmed e. kamal,1,2,1.6,2.0
1207,ahmed el-amawy,1,3,1.8333334,2.0
1208,ahmed ferchichi,1,1,1.0,1.0
1209,ahmed ferej,4,4,4.0,4.0
1210,ahmed gheith,2,3,2.5,2.5
1211,ahmed ghouse,3,3,3.0,3.0
1212,ahmed guessoum,2,2,2.0,2.0
1213,ahmed h. sameh,2,22,9.0,3.0
1214,ahmed h. tewfik,1,3,2.0769231,2.0
1215,ahmed hadj kacem,3,3,3.0,3.0
1216,ahmed hebni helal,2,2,2.0,2.0
1217,ahmed hemani,1,1,1.0,1.0
1218,ahmed jendoubi,2,2,2.0,2.0
1219,ahmed k. elhakeem,2,2,2.0,2.0
1220,ahmed k. elmagarmid,1,5,2.631579,3.0
1221,ahmed k. noor,2,2,2.0,2.0
1222,ahmed karmouch,1,4,2.4,2.0
1223,ahmed louri,1,3,1.6666666,1.5
1224,ahmed m. assaf,1,3,2.0,2.0
1225,ahmed m. elgendy,1,1,1.0,1.0
1226,ahmed n. f. bahgat,4,4,4.0,4.0
1227,ahmed n. tantawy,2,5,3.2,3.0
1228,ahmed patel,1,4,2.3333333,2.5
1229,ahmed s. abutaleb,1,1,1.0,1.0
1230,ahmed saoudi,1,5,2.5,2.0
1231,ahmed tamtaoui,2,2,2.0,2.0
1232,ahmed zakl,2,2,2.0,2.0
1233,ahmet cosar,2,3,2.5,2.5
1234,ahmet duyar,2,2,2.0,2.0
1235,ahmet enis çetin,2,2,2.0,2.0
1236,ahmet karakasoglu,3,3,3.0,3.0
1237,ahmet m. kondoz,3,4,3.3333333,3.0
1238,ahmet n. parlakbilek,2,2,2.0,2.0
1239,ahmet t. giz,2,2,2.0,2.0
1240,ahmet çakir,2,2,2.0,2.0
1241,ahsan abdullah,2,2,2.0,2.0
1242,ahsun h. murad,2,2,2.0,2.0
1243,ai guoxiang,2,2,2.0,2.0
